"","species","WWF_MHT","dcmlLng","dcmlLtt","S_mean_raster","Crowther_Nature_Biome_Revision_01_WGS84_GeoTiff","wc2.1_10m_bio_1","wc2.1_10m_bio_4","wc2.1_10m_bio_12","wc2.1_10m_bio_15"
"5923","Antarctica","Temperate Broadleaf and Mixed Forests",151.709098,-32.646906,28.3922386169434,62334.2272397612,17.8058013916016,415.13330078125,1069,33.638729095459
"5924","Antarctica","Temperate Broadleaf and Mixed Forests",153.316313,-28.933065,NA,49145.5920666687,19.462646484375,386.521789550781,1298,44.5534324645996
"5925","Antarctica","Temperate Broadleaf and Mixed Forests",153.168013,-30.101406,36.6699333190918,37984.5065242412,19.0499000549316,346.333984375,1441,43.1738128662109
"5926","Antarctica","Temperate Broadleaf and Mixed Forests",151.438668,-33.401066,35.0583038330078,59520.8670403997,17.4889736175537,374.527160644531,1299,28.776762008667
"5927","Antarctica","Temperate Broadleaf and Mixed Forests",152.898558,-30.467178,31.8743324279785,56385.1490133446,18.1677703857422,381.426025390625,1784,47.3538398742676
"5928","Antarctica","Temperate Broadleaf and Mixed Forests",151.794713,-31.799643,18.7891902923584,55609.6079434786,15.7964162826538,437.968170166016,1110,41.2449150085449
"5929","Antarctica","Temperate Broadleaf and Mixed Forests",153.389957,-28.661373,36.3530578613281,45681.2592380564,18.4544887542725,359.841217041016,1818,44.323299407959
"5930","Antarctica","Temperate Broadleaf and Mixed Forests",152.436158,-28.472846,23.9104557037354,53673.8852825814,16.2919158935547,427.407989501953,1080,42.0934028625488
"5931","Antarctica","Temperate Broadleaf and Mixed Forests",150.043379,-35.555827,31.5309448242188,67442.1959518018,15.1975831985474,366.048431396484,980,23.9577960968018
"5932","Antarctica","Temperate Broadleaf and Mixed Forests",151.152801,-34.082885,35.0913314819336,46225.0327128494,16.8688793182373,367.909454345703,1185,24.7310028076172
"5933","Antarctica","Temperate Broadleaf and Mixed Forests",152.325673,-29.258928,36.2790412902832,59843.7195629522,15.5257396697998,426.538421630859,1006,44.41943359375
"5934","Antarctica","Temperate Broadleaf and Mixed Forests",151.083866,-33.800168,NA,0,17.221227645874,406.150573730469,1143,28.7007904052734
"5935","Antarctica","Temperate Broadleaf and Mixed Forests",152.292427,-32.364919,32.6775703430176,54360.6805376959,17.8216667175293,380.050018310547,1171,27.5784530639648
"5936","Antarctica","Temperate Broadleaf and Mixed Forests",151.436927,-32.925034,26.1653213500977,58359.2319015114,17.0801658630371,417.672973632812,941,30.7004623413086
"5937","Antarctica","Temperate Broadleaf and Mixed Forests",153.016506,-30.369381,36.0260543823242,30673.7684839771,18.8230838775635,356.799743652344,1708,45.600700378418
"5938","Antarctica","Temperate Broadleaf and Mixed Forests",152.14282,-32.305162,32.8557624816895,56488.8700354302,16.660062789917,394.178009033203,1148,36.4127616882324
"5939","Antarctica","Temperate Broadleaf and Mixed Forests",151.252983,-33.03498,32.8934020996094,62711.0442533428,16.1595096588135,404.347015380859,1040,32.3122749328613
"5940","Antarctica","Temperate Broadleaf and Mixed Forests",151.81637,-32.005978,22.618371963501,53351.1487995638,15.5664691925049,421.052856445312,1282,39.5581207275391
"5941","Antarctica","Temperate Broadleaf and Mixed Forests",152.668235,-28.790253,20.2042083740234,36746.615088953,17.9942283630371,394.619903564453,1172,49.0240669250488
"5942","Antarctica","Temperate Broadleaf and Mixed Forests",153.35879,-28.975399,NA,37850.2243530939,19.3042621612549,370.182006835938,1632,41.6157341003418
"5943","Antarctica","Temperate Broadleaf and Mixed Forests",151.73651,-32.952776,32.1002769470215,53928.5737394508,18.0943489074707,398.058074951172,1127,28.2286396026611
"5944","Antarctica","Temperate Broadleaf and Mixed Forests",153.341287,-28.48802,35.881721496582,53991.8885740478,19.17014503479,359.620697021484,1792,45.0629386901855
"5945","Antarctica","Temperate Broadleaf and Mixed Forests",150.817332,-35.015173,NA,NA,16.6356906890869,324.591369628906,1232,22.6761169433594
"5946","Antarctica","Temperate Broadleaf and Mixed Forests",151.381958,-33.513609,36.2906265258789,57778.6677868407,17.3700981140137,352.875762939453,1330,27.9348850250244
"5947","Antarctica","Temperate Broadleaf and Mixed Forests",151.29149,-32.232696,28.7663326263428,62788.6502727528,15.7997598648071,447.5458984375,1069,28.7784309387207
"5948","Antarctica","Temperate Broadleaf and Mixed Forests",153.23599,-28.34422,26.9032497406006,54901.5347020869,18.6093330383301,371.135467529297,1646,48.2552375793457
"5949","Antarctica","Temperate Broadleaf and Mixed Forests",152.745091,-28.672582,29.6765117645264,56120.4445124183,17.9942283630371,394.619903564453,1172,49.0240669250488
"5950","Antarctica","Temperate Broadleaf and Mixed Forests",152.752055,-28.365459,36.298583984375,57645.393327443,17.0763130187988,396.739624023438,1240,46.146556854248
"5951","Antarctica","Temperate Broadleaf and Mixed Forests",152.389635,-31.609469,39.8821296691895,60732.4236086306,16.2628231048584,394.83740234375,1583,44.6729316711426
"5952","Antarctica","Temperate Broadleaf and Mixed Forests",152.14329,-32.229849,36.5791320800781,56912.0356821513,16.660062789917,394.178009033203,1148,36.4127616882324
"5953","Antarctica","Temperate Broadleaf and Mixed Forests",150.332756,-35.575228,34.1184997558594,65498.5948172256,15.7388601303101,351.9375,1112,23.5066547393799
"5954","Antarctica","Temperate Broadleaf and Mixed Forests",150.66969,-34.560831,37.983772277832,62521.4722975319,16.127498626709,361.931274414062,1335,26.3813228607178
